Rank,Metropolitan Statistical Area,Population,Household Income
179,Tallahassee- Florida MSA,284539,36441
180,Elmira- New York MSA,91070,36415
181,Punta Gorda- Florida MSA,141627,36379
182,Binghamton- New York MSA,252320,36374
183,Clarksville-Hopkinsville- Tennessee-Kentucky MSA,207033,36313
184,Decatur- Alabama MSA,145867,36299
185,Youngstown-Warren- Ohio MSA,594746,36255
186,Asheville- North Carolina MSA,225965,36179
187,State College- Pennsylvania MSA,135758,36165
188,Panama City- Florida MSA,148217,36092
189,Duluth-Superior- Minnesota-Wisconsin MSA,243815,36081
190,Lakeland-Winter Haven- Florida MSA,483924,36036
191,Grand Junction- Colorado MSA,116255,35864
192,Bangor- Maine MSA,90842,35837
193,Corpus Christi- Texas MSA,380783,35773
194,Daytona Beach- Florida MSA,493175,35722
195,Amarillo- Texas MSA,217858,35679
196,St. Joseph- Missouri MSA,102490,35675
197,Beaumont-Port Arthur- Texas MSA,385090,35669
198,Mobile- Alabama MSA,540258,35629
199,Grand Forks- North Dakota-Minnesota-MSA,97478,35562
200,Merced- California MSA,210554,35532
201,Bakersfield- California MSA,661645,35446
202,Charleston- West Virginia metropolitan area,251662,35418
203,Lake Charles- Louisiana MSA,183577,35372
204,New Orleans- Louisiana MSA,1337726,35317
205,Utica-Rome- New York MSA,299896,35292
206,Lewiston-Auburn- Maine MSA,90830,35244
207,Florence- South Carolina MSA,125761,35144
208,Houma- Louisiana MSA,194477,35089
209,Fresno- California MSA,922516,34960
210,Albany- Georgia MSA,120822,34829
211,Yakima- Washington MSA,222581,34828
212,Rocky Mount- North Carolina MSA,143026,34795
213,Midland-Odessa- Texas-CSA,237132,34773
214,Sharon- Pennsylvania MSA,120293,34666
215,Springfield- Missouri MSA,325721,34661
216,Muncie- Indiana MSA,118769,34659
217,Yuba City- California MSA,139149,34658
218,Columbus- Georgia-Alabama MSA,274624,34512
219,Missoula- Montana MSA,95802,34454
220,Tuscaloosa- Alabama MSA,164875,34436
221,Redding- California MSA,163256,34335
222,Longview-Marshall- Texas MSA,208780,34253
223,Terre Haute- Indiana MSA,149192,34222
224,Scranton-Wilkes-Barre-Hazleton- Pennsylvania MSA,624776,34161
225,Wichita Falls- Texas MSA,140518,34098
226,Abilene- Texas MSA,126555,34035
227,Williamsport- Pennsylvania MSA,120044,34016
228,Visalia-Tulare-Porterville- California MSA,368021,33983
229,Goldsboro- North Carolina MSA,113329,33942
230,Lawton- Oklahoma MSA,114996,33867
231,Jacksonville- North Carolina MSA,150355,33756
232,Parkersburg-Marietta- West Virginia-Ohio MSA,151237,33696
233,Waco- Texas MSA,213517,33560
234,Jamestown- New York MSA,139750,33458
235,Dothan- Alabama MSA,137916,33455
236,Athens- Georgia MSA,153444,33416
237,Bloomington- Indiana MSA,120563,33311
238,Sumter- South Carolina MSA,104646,33278
239,San Angelo- Texas MSA,104010,33148
240,Enid- Oklahoma MSA,57813,33006
241,Great Falls- Montana MSA,80357,32971
242,Greenville- North Carolina MSA,133798,32868
243,Altoona- Pennsylvania MSA,129144,32861
244,Pueblo- Colorado MSA,141472,32775
245,Florence- Alabama MSA,142950,32704
246,Shreveport-Bossier City- Louisiana MSA,392302,32558
247,Joplin- Missouri MSA,157322,32446
248,Jonesboro- Arkansas MSA,82148,32425
249,Fort Smith- Arkansas-Oklahoma MSA,207290,32399
250,Texarkana- Texas-Texarkana- Arkansas MSA,129749,32238
251,Lubbock- Texas MSA,242628,32198
252,Yuma- Arizona MSA,160026,32182
253,Monroe- Louisiana MSA,147250,32047
254,Steubenville-Weirton- Ohio-West Virginia MSA,132008,31982
255,Ocala- Florida MSA,258916,31944
256,Chico-Paradise- California MSA,203171,31924
257,Anniston- Alabama MSA,112249,31768
258,Johnson City-Kingsport-Bristol- Tennessee-VirginiaCSA,480091,31596
259,Gainesville- Florida MSA,217955,31426
260,Pine Bluff- Arkansas MSA,84278,31327
261,Danville- Virginia MSA,110156,31201
262,Gadsden- Alabama MSA,103459,31170
263,El Paso- Texas MSA,679622,31051
264,Lafayette- Louisiana MSA,385647,30998
265,Hattiesburg- Mississippi MSA,111674,30981
266,Auburn-Opelika- Alabama MSA,115092,30952
267,Cumberland- Maryland-West Virginia MSA,102008,30916
268,Johnstown- Pennsylvania MSA,232621,30442
269,Wheeling- West Virginia-Ohio MSA,153172,30335
270,Alexandria- Louisiana MSA,126337,29856
271,Las Cruces- New Mexico MSA,174682,29808
272,Huntington-Ashland- West Virginia-Kentucky-Ohio MSA,315538,29415
273,Bryan-College Station- Texas MSA,152415,29104
274,Laredo- Texas MSA,193117,28100
275,Brownsville-Harlingen-San Benito- Texas MSA,335227,26155
276,McAllen-Edinburg-Mission- Texas MSA,569463,24863
277,San Juan-Caguas-Arecibo- Puerto Rico CMSA,2450292,16203
278,Mayag¨¹ez-Puerto Rico MSA,253347,12707
279,Ponce-Puerto Rico MSA,361094,12505
280,Aguadilla-Puerto Rico MSA,146424,11385
